,GRDC-No.,River,Station,Country,Latitude(DD),Longitude(DD),Catchmentarea(km²),Altitude(mASL),Nextdownstreamstation
0,6135100,THUR,VILLER,FR,48.08,7.38,159.0,-999.0,6335200
1,6135120,MODER,SCHWEIGHOUSE-SUR-MODERD/S,FR,48.821815,7.741602,622.0,186.8,6335200
2,6136200,MOSELLERIVER,EPINAL,FR,48.164617,6.452056,1220.0,369.2,6336800
3,6136201,MOSELLERIVER,SAINT-NABOR(NOIRGUEUX),FR,48.065207,6.610067,621.0,416.21,6136200
4,6136202,MOSELLERIVER,RUPT-SUR-MOSELLE,FR,47.908590000000004,6.685294,153.0,477.41,6136201
5,6139800,ILL,ALTKIRCH,FR,47.633334999999995,7.233333,233.0,-999.0,6139390
6,6235100,BREGENZERACH,MELLAU,AT,47.3553,9.8814,228.6,673.46,6935055
7,6235101,BREGENZERACH,AU,AT,47.33,9.9728,149.3,772.9,6235100
8,6235102,BREGENZERACH,HOPFREBEN,AT,47.2861,10.0478,41.7,943.2,6235101
9,6335020,RHINERIVER,REES,DE,51.756918,6.395395,159300.0,8.0,6435060
10,6335030,RUHR,HATTINGEN,DE,51.39975,7.161034,4078.0,64.69,6335020
11,6335031,RUHR,VILLIGST,DE,51.435987,7.581097,1988.0,105.83,6335030
12,6335032,RUHR,MESCHEDE,DE,51.347759,8.280575,425.0,265.3,6335031
13,6335045,SIEG,MENDEN1,DE,50.797901,7.159167999999999,2832.0,52.03,6335050
14,6335046,SIEG,EITORF,DE,50.776982000000004,7.442713,1472.0,83.53,6335045
15,6335050,RHINERIVER,DUESSELDORF,DE,51.225547,6.770183,147680.0,24.48,6335020
16,6335060,RHINERIVER,KOELN,DE,50.936961,6.963292999999999,144232.0,34.97,6335050
17,6335070,RHINERIVER,ANDERNACH,DE,50.443386,7.39205,139549.0,51.47,6335060
18,6335076,WIED,FRIEDRICHSTHAL,DE,50.50212,7.445735000000001,697.0,86.62,6335070
19,6335080,LIPPE,SCHERMBECK1,DE,51.673858,6.85115,-999.0,-999.0,6335020
20,6335081,LIPPE,KESSELER3,DE,51.662965,8.089404,2005.0,67.86,6335083
21,6335082,LIPPE,BENTFELD,DE,51.748833000000005,8.630535,1018.0,92.33,6335081
22,6335083,LIPPE,HALTERN,DE,51.745286,7.186914999999999,4249.0,34.78,6335080
23,6335100,RHINERIVER,KAUB,DE,50.085444,7.7649669999999995,103488.0,67.66,6335070
24,6335115,NAHE,GROLSHEIM,DE,49.911575,7.910784,4013.0,85.0,6335100
25,6335116,NAHE,BOOS,DE,49.779979,7.720317,2832.0,133.73,6335115
26,6335125,KINZIG,SCHWAIBACH,DE,48.391719,8.03256,954.0,173.0,6335200
27,6335150,RHINERIVER,MAINZ,DE,50.003988,8.275313,98206.0,78.43,6335100
28,6335170,RHINERIVER,SPEYER,DE,49.323807,8.448717,53131.0,88.52,6335180
29,6335180,RHINERIVER,WORMS,DE,49.64112,8.376019,68827.0,84.16,6335150
30,6335190,SPEYERBACH,NEUSTADT/WEINSTRASSE,DE,49.350089000000004,8.138863,311.0,144.54,6335180
31,6335200,RHINERIVER,MAXAU,DE,49.038985,8.305563000000001,50196.0,97.79,6335170
32,6335240,MAIN,KLEINHEUBACH,DE,49.716475,9.224584,21505.0,119.62,6335304
33,6335301,MAIN,SCHWEINFURT-NEUERHAFEN,DE,50.031196,10.220815,12715.0,201.16,6335500
34,6335302,MAIN,STEINBACH,DE,50.009995,9.603864999999999,17914.0,146.33,6335240
35,6335303,MAIN,TRUNSTADT,DE,49.929697999999995,10.75521,12010.0,223.4,6335301
36,6335304,MAIN,FRANKFURT/MAIN(OSTHAFEN),DE,50.105773,8.714986,24764.0,90.64,6335150
37,6335310,KINZIG,HANAU,DE,50.132082000000004,8.945812,921.0,104.74,6335304
